ID_do_Par,Tipo_Diretorio,Pasta_Original,Musica_1,Musica_2,Similaridade,Plagio,caracteristicas_individuais,sim_spectral_rolloff,sim_mfcc,sim_tempo,sim_zero_crossing_rate,sim_spectral_centroid,sim_spectral_bandwidth,sim_tonnetz,sim_rms,sim_chroma,sim_mel_spectrogram
Variadas_44,Variadas,44,Red Velvet - 음파음파 (Umpah Umpah).mp3,TWICE - Alcohol-Free.mp3,0.9952,não,"{'spectral_rolloff': '0.9998', 'mfcc': '0.9953', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '0.9998', 'spectral_bandwidth': '0.9988', 'tonnetz': '0.9679', 'rms': '0.9965', 'chroma': '0.9930', 'mel_spectrogram': '0.9583'}",0.9998,0.9953,1.0000,0.9999,0.9998,0.9988,0.9679,0.9965,0.9930,0.9583
Plágios_9,Plágios,9,Let It Rock.mp3,Surfin_ USA.mp3,0.9930,sim,"{'spectral_rolloff': '0.9977', 'mfcc': '0.9940', 'tempo': '1.0000', 'zero_crossing_rate': '0.9995', 'spectral_centroid': '0.9943', 'spectral_bandwidth': '0.9969', 'tonnetz': '0.9799', 'rms': '1.0000', 'chroma': '0.9934', 'mel_spectrogram': '0.9227'}",0.9977,0.9940,1.0000,0.9995,0.9943,0.9969,0.9799,1.0000,0.9934,0.9227
Variadas_45,Variadas,45,WOODZ - 파랗게 (Love Me Harder).mp3,YENA - Lxxk 2 U.mp3,0.9889,não,"{'spectral_rolloff': '0.9815', 'mfcc': '0.9853', 'tempo': '1.0000', 'zero_crossing_rate': '0.9937', 'spectral_centroid': '0.9909', 'spectral_bandwidth': '0.9855', 'tonnetz': '0.9743', 'rms': '0.9991', 'chroma': '0.9984', 'mel_spectrogram': '0.9479'}",0.9815,0.9853,1.0000,0.9937,0.9909,0.9855,0.9743,0.9991,0.9984,0.9479
Variadas_19,Variadas,19,Red Velvet - Taste.mp3,Seori - Trigger.mp3,0.9911,não,"{'spectral_rolloff': '0.9868', 'mfcc': '0.9892', 'tempo': '1.0000', 'zero_crossing_rate': '0.9980', 'spectral_centroid': '0.9933', 'spectral_bandwidth': '0.9959', 'tonnetz': '0.9880', 'rms': '0.9986', 'chroma': '0.9919', 'mel_spectrogram': '0.9529'}",0.9868,0.9892,1.0000,0.9980,0.9933,0.9959,0.9880,0.9986,0.9919,0.9529
Variadas_3,Variadas,3,STAYC - BUTTERFLY.mp3,TWICE CANDY.mp3,0.9919,não,"{'spectral_rolloff': '0.9921', 'mfcc': '0.9885', 'tempo': '1.0000', 'zero_crossing_rate': '0.9972', 'spectral_centroid': '0.9953', 'spectral_bandwidth': '0.9966', 'tonnetz': '0.9864', 'rms': '0.9983', 'chroma': '0.9949', 'mel_spectrogram': '0.9391'}",0.9921,0.9885,1.0000,0.9972,0.9953,0.9966,0.9864,0.9983,0.9949,0.9391
Plágios_35,Plágios,35,Madonna - Papa Don t Preach.mp3,Sam Harris - Sugar Don t Bite.mp3,0.9863,sim,"{'spectral_rolloff': '0.9894', 'mfcc': '0.9855', 'tempo': '1.0000', 'zero_crossing_rate': '0.9993', 'spectral_centroid': '0.9912', 'spectral_bandwidth': '0.9947', 'tonnetz': '0.9810', 'rms': '0.9902', 'chroma': '0.9947', 'mel_spectrogram': '0.8267'}",0.9894,0.9855,1.0000,0.9993,0.9912,0.9947,0.9810,0.9902,0.9947,0.8267
Variadas_27,Variadas,27,BIBI - 사랑의 묘약 (Eat My Love).mp3,GFRIEND - 빨간우산 (RED UMBRELLA).mp3,0.9927,não,"{'spectral_rolloff': '0.9987', 'mfcc': '0.9886', 'tempo': '1.0000', 'zero_crossing_rate': '0.9997', 'spectral_centroid': '0.9989', 'spectral_bandwidth': '0.9993', 'tonnetz': '0.9317', 'rms': '0.9979', 'chroma': '0.9937', 'mel_spectrogram': '0.9543'}",0.9987,0.9886,1.0000,0.9997,0.9989,0.9993,0.9317,0.9979,0.9937,0.9543
Plágios_31,Plágios,31,Led Zeppelin - Boogie With Stu.mp3,Los Lobos - Ooh My Head.mp3,0.9751,sim,"{'spectral_rolloff': '0.9652', 'mfcc': '0.9826', 'tempo': '1.0000', 'zero_crossing_rate': '0.9801', 'spectral_centroid': '0.9561', 'spectral_bandwidth': '0.9826', 'tonnetz': '0.9695', 'rms': '0.9991', 'chroma': '0.9913', 'mel_spectrogram': '0.8224'}",0.9652,0.9826,1.0000,0.9801,0.9561,0.9826,0.9695,0.9991,0.9913,0.8224
Variadas_31,Variadas,31,BVNDIT - 연애의 온도 (My Error).mp3,GIRLS' GENERATION - 완벽한 장면 (Summer Night).mp3,0.9962,não,"{'spectral_rolloff': '0.9979', 'mfcc': '0.9930', 'tempo': '1.0000', 'zero_crossing_rate': '0.9992', 'spectral_centroid': '0.9991', 'spectral_bandwidth': '0.9978', 'tonnetz': '0.9751', 'rms': '0.9991', 'chroma': '0.9986', 'mel_spectrogram': '0.9790'}",0.9979,0.9930,1.0000,0.9992,0.9991,0.9978,0.9751,0.9991,0.9986,0.9790
Plágios_4,Plágios,4,If I Could Fly.mp3,Viva La Vida.mp3,0.9804,sim,"{'spectral_rolloff': '0.9726', 'mfcc': '0.9808', 'tempo': '1.0000', 'zero_crossing_rate': '0.9990', 'spectral_centroid': '0.9934', 'spectral_bandwidth': '0.9803', 'tonnetz': '0.9004', 'rms': '0.9999', 'chroma': '0.9846', 'mel_spectrogram': '0.8689'}",0.9726,0.9808,1.0000,0.9990,0.9934,0.9803,0.9004,0.9999,0.9846,0.8689
Plágios_7,Plágios,7,I Won_t Back Down.mp3,Stay With Me.mp3,0.9890,sim,"{'spectral_rolloff': '0.9838', 'mfcc': '0.9882', 'tempo': '1.0000', 'zero_crossing_rate': '0.9913', 'spectral_centroid': '0.9951', 'spectral_bandwidth': '0.9895', 'tonnetz': '0.9720', 'rms': '0.9995', 'chroma': '0.9938', 'mel_spectrogram': '0.9182'}",0.9838,0.9882,1.0000,0.9913,0.9951,0.9895,0.9720,0.9995,0.9938,0.9182
Variadas_4,Variadas,4,DEAN - D (Half Moon) (feat. Gaeko).mp3,NewJeans - Cookie.mp3,0.9907,não,"{'spectral_rolloff': '0.9906', 'mfcc': '0.9877', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '0.9984', 'spectral_bandwidth': '0.9944', 'tonnetz': '0.9710', 'rms': '0.9924', 'chroma': '0.9918', 'mel_spectrogram': '0.9373'}",0.9906,0.9877,1.0000,0.9999,0.9984,0.9944,0.9710,0.9924,0.9918,0.9373
Plágios_41,Plágios,41,Oasis - Step Out.mp3,Uptight - Stevie Wonder.mp3,0.9854,sim,"{'spectral_rolloff': '0.9997', 'mfcc': '0.9763', 'tempo': '1.0000', 'zero_crossing_rate': '0.9909', 'spectral_centroid': '0.9972', 'spectral_bandwidth': '0.9973', 'tonnetz': '0.9259', 'rms': '0.9949', 'chroma': '0.9866', 'mel_spectrogram': '0.8957'}",0.9997,0.9763,1.0000,0.9909,0.9972,0.9973,0.9259,0.9949,0.9866,0.8957
Variadas_36,Variadas,36,ENHYPEN - Polaroid Love.mp3,EVERGLOW - Don't Speak.mp3,0.9955,não,"{'spectral_rolloff': '0.9977', 'mfcc': '0.9953', 'tempo': '1.0000', 'zero_crossing_rate': '0.9982', 'spectral_centroid': '1.0000', 'spectral_bandwidth': '0.9990', 'tonnetz': '0.9549', 'rms': '0.9997', 'chroma': '0.9971', 'mel_spectrogram': '0.9523'}",0.9977,0.9953,1.0000,0.9982,1.0000,0.9990,0.9549,0.9997,0.9971,0.9523
Variadas_24,Variadas,24,ELRIS - 너와 나 (You and Me).mp3,T-ara - 남주긴 아까워 (I Don't Want You).mp3,0.9935,não,"{'spectral_rolloff': '0.9976', 'mfcc': '0.9938', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '0.9990', 'spectral_bandwidth': '0.9919', 'tonnetz': '0.9777', 'rms': '0.9940', 'chroma': '0.9960', 'mel_spectrogram': '0.9256'}",0.9976,0.9938,1.0000,0.9999,0.9990,0.9919,0.9777,0.9940,0.9960,0.9256
Plágios_17,Plágios,17,01. Mulheres.mp3,Adele_-_Million_Years_Ago.mp3,0.9873,sim,"{'spectral_rolloff': '0.9887', 'mfcc': '0.9950', 'tempo': '1.0000', 'zero_crossing_rate': '0.9975', 'spectral_centroid': '0.9948', 'spectral_bandwidth': '0.9887', 'tonnetz': '0.9776', 'rms': '0.9786', 'chroma': '0.9935', 'mel_spectrogram': '0.8163'}",0.9887,0.9950,1.0000,0.9975,0.9948,0.9887,0.9776,0.9786,0.9935,0.8163
Variadas_43,Variadas,43,Kep1er - Up!.mp3,NATURE - 빙빙 (Bing Bing).mp3,0.9955,não,"{'spectral_rolloff': '0.9996', 'mfcc': '0.9960', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '0.9993', 'spectral_bandwidth': '0.9968', 'tonnetz': '0.9816', 'rms': '1.0000', 'chroma': '0.9942', 'mel_spectrogram': '0.9502'}",0.9996,0.9960,1.0000,0.9999,0.9993,0.9968,0.9816,1.0000,0.9942,0.9502
Plágios_32,Plágios,32,The Angels - Am I Ever Gonna See Your Face Again .mp3,status quo lonely night.mp3,0.9930,sim,"{'spectral_rolloff': '0.9993', 'mfcc': '0.9972', 'tempo': '1.0000', 'zero_crossing_rate': '0.9981', 'spectral_centroid': '0.9988', 'spectral_bandwidth': '0.9999', 'tonnetz': '0.9422', 'rms': '0.9996', 'chroma': '0.9905', 'mel_spectrogram': '0.9036'}",0.9993,0.9972,1.0000,0.9981,0.9988,0.9999,0.9422,0.9996,0.9905,0.9036
Variadas_14,Variadas,14,My Space.mp3,Red Velvet - My Dear.mp3,0.9869,não,"{'spectral_rolloff': '0.9799', 'mfcc': '0.9792', 'tempo': '1.0000', 'zero_crossing_rate': '0.9962', 'spectral_centroid': '0.9904', 'spectral_bandwidth': '0.9960', 'tonnetz': '0.9807', 'rms': '0.9966', 'chroma': '0.9892', 'mel_spectrogram': '0.9612'}",0.9799,0.9792,1.0000,0.9962,0.9904,0.9960,0.9807,0.9966,0.9892,0.9612
Variadas_37,Variadas,37,GFRIEND - Mr. Blue.mp3,fromis_9 - Weather.mp3,0.9944,não,"{'spectral_rolloff': '0.9950', 'mfcc': '0.9922', 'tempo': '1.0000', 'zero_crossing_rate': '0.9995', 'spectral_centroid': '0.9996', 'spectral_bandwidth': '0.9986', 'tonnetz': '0.9838', 'rms': '0.9965', 'chroma': '0.9972', 'mel_spectrogram': '0.9386'}",0.9950,0.9922,1.0000,0.9995,0.9996,0.9986,0.9838,0.9965,0.9972,0.9386
Plágios_8,Plágios,8,Da Ya Think I_m Sexy_.mp3,Taj Mahal.mp3,0.9844,sim,"{'spectral_rolloff': '0.9970', 'mfcc': '0.9921', 'tempo': '1.0000', 'zero_crossing_rate': '0.9980', 'spectral_centroid': '0.9955', 'spectral_bandwidth': '0.9986', 'tonnetz': '0.9617', 'rms': '0.9899', 'chroma': '0.9884', 'mel_spectrogram': '0.7048'}",0.9970,0.9921,1.0000,0.9980,0.9955,0.9986,0.9617,0.9899,0.9884,0.7048
